Language,Korean,English,ChineseSimplified,ChineseTraditional
quest_idx_30_title_key,Worker를 업그레이드 해주세요.,Upgrade the worker.,请升级你的worker。,請升級你的worker。
quest_idx_40_title_key,Worker의 Lv.6로 업그레이드,Upgrade to Lv.6 of Worker,请将worker升级到Lv.6,請將worker升級到Lv.6
quest_idx_50_title_key,Worker의 Lv.11로 업그레이드,Upgrade to Lv.11 of Worker,将worker升级到Lv.11,將worker升級到Lv.11
quest_idx_60_title_key,300골드로 샥크스 고용하기,Hire Sharks with 300A Gold,花费300金币雇佣鲨克斯,花費300金幣雇傭鯊克斯
quest_idx_70_title_key,샥크스 Level Up 하기,Level up Sharks,升级鲨克斯,升級鯊克斯
quest_idx_80_title_key,Worker의 Lv.16로 업그레이드,Upgrade to Lv.16 of Worker,将worker升级到Lv.16,將worker升級到Lv.16
quest_idx_90_title_key,샥크스의 스킬 획득하기 (Level 10 필요),-,-,-
quest_idx_100_title_key,5A골드로 월링턴 고용하기,Hire Wallington with 5A Gold,花费5A金币雇佣威灵顿,花費5A金幣雇傭威靈頓
quest_idx_110_title_key,월링턴 Level Up 하기,Level up Wallington,升级威灵顿,升級威靈頓
quest_idx_120_title_key,Worker의 Lv.21로 업그레이드,Upgrade to Lv.21 of Worker,将worker升级到Lv.21,將worker升級到Lv.21
quest_idx_130_title_key,스테이지 2 클리어,Stage 2 cleared,完成第二关卡,完成第二關卡
quest_idx_140_title_key,월링턴의 스킬 획득하기 (Level 10 필요),-,-,-
quest_idx_150_title_key,15A골드로 우사기 고용하기,Hire Usagi with 15A Gold,花费15A金币雇佣兔斯奇,花費15A金幣雇傭兔斯奇
quest_idx_160_title_key,우사기 Level Up 하기,Level up Usagi,升级兔斯奇,升級兔斯奇
quest_idx_170_title_key,Worker의 Lv.26로 업그레이드,Upgrade to Lv.26 of Worker,升级为worker的Lv.26,升級為worker的Lv.26
quest_idx_180_title_key,샥크스의 스킬 획득하기 (Level 20 필요),-,-,-
quest_idx_190_title_key,스테이지 5 클리어,Stage 5 cleared,完成第五关卡,完成第五關卡
quest_idx_200_title_key,우사기의 스킬 획득하기 (Level 10 필요),-,-,-
quest_idx_210_title_key,Worker의 Lv.31로 업그레이드,Upgrade to Lv.31 of Worker,将worker升级到Lv.31,將worker升級到Lv.31
quest_idx_220_title_key,200A골드로 드래콩 고용하기,Hire Dracong with 200A Gold,花费200A金币雇佣龙龙空,花費200A金幣雇傭龍龍空
quest_idx_230_title_key,드래콩 Level Up 하기,Level up Dracong,升级龙龙空,升級龍龍空
quest_idx_240_title_key,월링턴의 스킬 획득하기 (Level 20 필요),-,-,-
quest_idx_250_title_key,샥크스의 스킬 획득하기 (Level 50 필요),-,-,-
quest_idx_260_title_key,Worker의 Lv.41로 업그레이드,Upgrade to Lv.41 of Worker,将worker升级到Lv.41,將worker升級到Lv.41
quest_idx_270_title_key,우사기의 스킬 획득하기 (Level 20 필요),-,-,-
quest_idx_280_title_key,스테이지 10 클리어,-,-,-
quest_idx_290_title_key,샥크스의 스킬 획득하기 (Level 100 필요),-,-,-
quest_idx_300_title_key,Worker의 Lv.46로 업그레이드,Upgrade to Lv.46 of Worker,worker升级到Lv.46,worker升級到Lv.46
quest_idx_310_title_key,월링턴의 스킬 획득하기 (Level 50 필요),-,-,-
quest_idx_320_title_key,드래콩의 스킬 획득하기 (Level 20 필요),-,-,-
quest_idx_330_title_key,Worker의 Lv.51로 업그레이드,Upgrade to Lv.51 of Worker,将worker升级到Lv.51,將worker升級到Lv.51
quest_idx_340_title_key,동료들 Level Up 50번 해주기,-,-,-
quest_idx_350_title_key,스테이지 20 클리어,-,-,-
quest_idx_360_title_key,[보물] VIP 회원증 획득하기,-,-,-
quest_idx_370_title_key,[보물] VIP 회원증 업그레이드,-,-,-
quest_idx_380_title_key,[보물] 초심자의 다트 획득하기,-,-,-
quest_idx_390_title_key,[보물] 초심자의 다트 업그레이드,-,-,-
quest_idx_400_title_key,샥크스의 Level 900 달성,Achieved Level 900 of Sharks,鲨克斯等级达到900,鯊克斯等級達到900
quest_idx_410_title_key,샥크스의 Level 999 달성,Achieved Level 999 of Sharks,鲨克斯等级达到999,鯊克斯等級達到999
quest_idx_420_title_key,샥크스 Evolution 하기,Evolve Sharks,将鲨克斯进化,將鯊克斯進化
quest_idx_430_title_key,샥크스 Level Up 하기,Level up Sharks,升级鲨克斯,升級鯊克斯
quest_idx_440_title_key,Worker의 Lv.81로 업그레이드,Upgrade to Lv.81 of Worker,worker升级到Lv.81,worker升級到Lv.81
quest_idx_450_title_key,월링턴 Evolution 하기,Evolve Wallington,将威灵顿进行进化,將威靈頓進行進化
quest_idx_460_title_key,월링턴 Level Up 하기,Level up Wallington,升级威灵顿,升級威靈頓
quest_idx_470_title_key,스테이지 25 클리어,-,-,-
quest_idx_480_title_key,우사기 Evolution 하기,Evolve Usagi,进化兔斯奇,進化兔斯奇
quest_idx_490_title_key,우사기 Level Up 하기,Level up Usagi,升级兔斯奇,升級兔斯奇
quest_idx_500_title_key,Worker의 Lv.86로 업그레이드,Upgrade to Lv.86 of Worker,worker升级到Lv.86,worker升級到Lv.86
quest_idx_510_title_key,드래콩 Evolution 하기,Evolve Dracong,进化龙龙空,進化龍龍空
quest_idx_520_title_key,드래콩 Level Up 하기,Level up Dracong,升级龙龙空,升級龍龍空
quest_idx_530_title_key,스테이지 30 클리어,-,-,-
quest_idx_540_title_key,Worker의 Lv.91로 업그레이드,-,-,-
quest_idx_550_title_key,이제 환생하여 더 강해지세요,-,-,-
quest_idx_0_desc_key,화면을 터치하면 망치가 발사됩니다!,Touch the screen and the hammer will fire!,触摸屏幕会发射锤子！,觸摸屏幕會發射錘子！
quest_num_0_title_key,화면을 터치해주세요.,Touch the screen.,请触摸屏幕。,請觸摸屏幕。
quest_num_1_title_key,화면을 10번 터치해주세요.,Touch the screen 10 times.,请触摸屏幕10次。,請觸摸屏幕10次。
quest_num_2_title_key,픽셀을 20개 부셔주세요.,Break 20 pixels.,请打碎20个砖块。,請打碎20個磚塊。
quest_num_3_title_key,Worker를 업그레이드 해주세요.,Upgrade the worker.,请升级你的worker。,請升級你的worker。
quest_num_4_title_key,Worker의 Lv.6로 업그레이드,Upgrade to Lv.6 of Worker,请将worker升级到Lv.6,請將worker升級到Lv.6
quest_num_5_title_key,픽셀에서 나오는 상자를 5개 주워주세요.,Pick up 5 of the boxes coming out from the pixels.,请击碎从像素中出来的五个箱子。,請擊碎從像素中出來的五個箱子。
quest_num_6_title_key,Worker의 Lv.11로 업그레이드,Upgrade to Lv.11 of Worker,将worker升级到Lv.11,將worker升級到Lv.11
quest_num_7_title_key,픽셀을 50개 부셔주세요.,Break 50 pixels.,请击碎50个砖块。,請擊碎50個磚塊。
quest_num_8_title_key,300골드로 샥크스 고용하기,Hire Sharks with 300A Gold,花费300金币雇佣鲨克斯,花費300金幣雇傭鯊克斯
quest_num_9_title_key,샥크스 Level Up 하기,Level up Sharks,升级鲨克斯,升級鯊克斯
quest_num_10_title_key,그림을 1개 완성 시켜주세요!,-,-,-
quest_num_11_title_key,Worker의 Lv.16로 업그레이드,Upgrade to Lv.16 of Worker,将worker升级到Lv.16,將worker升級到Lv.16
quest_num_12_title_key,픽셀에서 나오는 상자를 30개 주워주세요.,-,-,-
quest_num_13_title_key,스테이지 1 클리어,Stage 1 cleared,完成第一关,完成第一關
quest_num_14_title_key,샥크스의 스킬 획득하기 (Level 10 필요),-,-,-
quest_num_15_title_key,7A골드로 월링턴 고용하기,Hire Wallington with 7A Gold,花费7A金币雇佣威灵顿,花費7A金幣雇傭威靈頓
quest_num_16_title_key,월링턴 Level Up 하기,Level up Wallington,升级威灵顿,升級威靈頓
quest_num_17_title_key,픽셀을 100개 부셔주세요.,Break 100 pixels.,击碎100个砖块。,擊碎100個磚塊。
quest_num_18_title_key,Worker의 Lv.21로 업그레이드,Upgrade to Lv.21 of Worker,将worker升级到Lv.21,將worker升級到Lv.21
quest_num_19_title_key,스테이지 2 클리어,Stage 2 cleared,完成第二关卡,完成第二關卡
quest_num_20_title_key,화면을 25번 터치해주세요.,Touch the screen 25 times.,请触摸屏幕25次。,請觸摸屏幕25次。
quest_num_21_title_key,월링턴의 스킬 획득하기 (Level 10 필요),-,-,-
quest_num_22_title_key,15A골드로 우사기 고용하기,Hire Usagi with 15A Gold,花费15A金币雇佣兔斯奇,花費15A金幣雇傭兔斯奇
quest_num_23_title_key,우사기 Level Up 하기,Level up Usagi,升级兔斯奇,升級兔斯奇
quest_num_24_title_key,Worker의 Lv.26로 업그레이드,Upgrade to Lv.26 of Worker,升级为worker的Lv.26,升級為worker的Lv.26
quest_num_25_title_key,샥크스의 스킬 획득하기 (Level 20 필요),-,-,-
quest_num_26_title_key,그림을 5개 완성 시켜주세요!,Complete 5 pictures!,请完成5张图片！,請完成5張圖片！
quest_num_27_title_key,스테이지 5 클리어,Stage 5 cleared,完成第五关卡,完成第五關卡
quest_num_28_title_key,200A골드로 드래콩 고용하기,Hire Dracong with 200A Gold,花费200A金币雇佣龙龙空,花費200A金幣雇傭龍龍空
quest_num_29_title_key,드래콩 Level Up 하기,Level up Dracong,升级龙龙空,升級龍龍空
quest_num_30_title_key,우사기의 스킬 획득하기 (Level 10 필요),-,-,-
quest_num_31_title_key,Worker의 Lv.31로 업그레이드,Upgrade to Lv.31 of Worker,将worker升级到Lv.31,將worker升級到Lv.31
quest_num_32_title_key,월링턴의 스킬 획득하기 (Level 20 필요),-,-,-
quest_num_33_title_key,샥크스의 스킬 획득하기 (Level 50 필요),-,-,-
quest_num_34_title_key,Worker의 Lv.36로 업그레이드,Upgrade to Lv.36 of Worker,升级为workerLv.36,升級為workerLv.36
quest_num_35_title_key,픽셀에서 나오는 상자를 50개를 주워주세요.,Pick up 50 of the boxes coming out from the pixels.,捡起砖块中掉落的50个箱子,撿起磚塊中掉落的50個箱子
quest_num_36_title_key,Worker의 Lv.41로 업그레이드,Upgrade to Lv.41 of Worker,将worker升级到Lv.41,將worker升級到Lv.41
quest_num_37_title_key,우사기의 스킬 획득하기 (Level 20 필요),-,-,-
quest_num_38_title_key,드래콩의 스킬 획득하기 (Level 10 필요),-,-,-
quest_num_39_title_key,스테이지 10 클리어\n! 무기와 동료 강화는 필수 !,Stage 10 cleared\n! Weapons and teammates must be strengthened !,完成关卡10 \n！强化武器和同伴至关重要！,完成關卡10 \n！強化武器和同伴至關重要！
quest_num_40_title_key,샥크스의 스킬 획득하기 (Level 100 필요),-,-,-
quest_num_41_title_key,Worker의 Lv.46로 업그레이드,Upgrade to Lv.46 of Worker,worker升级到Lv.46,worker升級到Lv.46
quest_num_42_title_key,월링턴의 스킬 획득하기 (Level 50 필요),-,-,-
quest_num_43_title_key,드래콩의 스킬 획득하기 (Level 20 필요),-,-,-
quest_num_44_title_key,우사기의 스킬 획득하기 (Level 50 필요),-,-,-
quest_num_45_title_key,월링턴의 스킬 획득하기 (Level 100 필요),-,-,-
quest_num_46_title_key,Worker의 Lv.51로 업그레이드,Upgrade to Lv.51 of Worker,将worker升级到Lv.51,將worker升級到Lv.51
quest_num_47_title_key,동료들을 100번 강화하기,Strengthen teammates 100 times.,将你的同伴强化100次,將你的同伴強化100次
quest_num_48_title_key,스테이지 15 클리어\n! 무기와 동료 강화는 필수 !,Stage 15 cleared\n! Weapons and teammates must be strengthened !,完成第15关卡 \n！强化武器和同伴至关重要！,完成第15關卡 \n！強化武器和同伴至關重要！
quest_num_49_title_key,!보물! VIP 회원증 획득하기,!Treasure! VIP Membership Card obtained,！宝藏！获得VIP会员卡,！寶藏！獲得VIP會員卡
quest_num_50_title_key,!보물! VIP 회원증 Lv.30로 업그레이드,!Treasure! VIP Membership Card upgraded to Lv.30,！宝藏！将VIP会员卡升级到30级,！寶藏！將VIP會員卡升級到30級
quest_num_51_title_key,!보물! 황금마차 획득하기,!Treasure! Golden Carriage obtained,！宝藏！获取黄金马车,！寶藏！獲取黃金馬車
quest_num_52_title_key,!보물! 황금마차 Lv.20로 업그레이드,!Treasure! Golden Carriage upgraded to Lv.20,！宝藏！将黄金马车升级到Lv.20,！寶藏！將黃金馬車升級到Lv.20
quest_num_53_title_key,우사기의 스킬 획득하기 (Level 100 필요),-,-,-
quest_num_54_title_key,드래콩의 스킬 획득하기 (Level 100 필요),-,-,-
quest_num_55_title_key,Worker의 Lv.66로 업그레이드,-,-,-
quest_num_56_title_key,스테이지 20 클리어\n! 무기와 동료 강화는 필수 !,Stage 20 cleared\n! Weapons and teammates must be strengthened !,完成第20关卡 \n！一定要强化武器和同伴！,完成第20關卡 \n！一定要強化武器和同伴！
quest_num_57_title_key,!보물! 초심자의 다트 획득하기,!Treasure! Beginner's Dart obtained,！宝藏！获取初学者的飞镖,！寶藏！獲取初學者的飛鏢
quest_num_58_title_key,!보물! 초심자의 다트 Lv.10 업그레이드,!Treasure! Beginner's Dart upgraded to Lv.10,！宝藏！初学者飞镖升级到Lv.10,！寶藏！初學者飛鏢升級到Lv.10
quest_num_59_title_key,!보물! 속사의 리볼버 획득하기,!Treasure! Rapid Revolver obtained,！宝藏！购买左轮手枪,！寶藏！購買左輪手槍
quest_num_60_title_key,!보물! 속사의 리볼버 Lv.15 업그레이드,!Treasure! Rapid Revolver upgraded to Lv.15,！宝藏！左轮手枪升级到Lv.15,！寶藏！左輪手槍升級到Lv.15
quest_num_61_title_key,Worker의 Lv.76로 업그레이드,Upgrade to Lv.76 of Worker,worker升级到Lv.76,worker升級到Lv.76
quest_num_62_title_key,샥크스의 Level 900 달성,Achieved Level 900 of Sharks,鲨克斯等级达到900,鯊克斯等級達到900
quest_num_63_title_key,샥크스의 Level 999 달성,Achieved Level 999 of Sharks,鲨克斯等级达到999,鯊克斯等級達到999
quest_num_64_title_key,샥크스 Evolution 하기,Evolve Sharks,将鲨克斯进化,將鯊克斯進化
quest_num_65_title_key,샥크스 Level Up 하기,Level up Sharks,升级鲨克斯,升級鯊克斯
quest_num_66_title_key,Worker의 Lv.81로 업그레이드,Upgrade to Lv.81 of Worker,worker升级到Lv.81,worker升級到Lv.81
quest_num_67_title_key,월링턴의 Level 900 달성,Achieved Level 900 of Wallington,威灵顿达到等级900级,威靈頓達到等級900級
quest_num_68_title_key,월링턴의 Level 999 달성,Achieved Level 999 of Wallington,威灵顿等级达到999,威靈頓等級達到999
quest_num_69_title_key,월링턴 Evolution 하기,Evolve Wallington,将威灵顿进行进化,將威靈頓進行進化
quest_num_70_title_key,월링턴 Level Up 하기,Level up Wallington,升级威灵顿,升級威靈頓
quest_num_71_title_key,스테이지 25 클리어\n! 무기와 동료 강화는 필수 !,Stage 25 cleared\n! Weapons and teammates must be strengthened !,完成第25关 \n！强化武器和同伴至关重要！,完成第25關 \n！強化武器和同伴至關重要！
quest_num_72_title_key,샥크스의 집중을 획득하세요.,Obtain Sharks' concentration.,获得鲨克斯的聚焦。,獲得鯊克斯的聚焦。
quest_num_73_title_key,월링턴의 저력을 획득하세요.,Obtain Wallington's potential.,发挥威灵顿的潜力。,發揮威靈頓的潛力。
quest_num_74_title_key,우사기의 격려을 획득하세요.,Obtain Usagi's encouragement.,得到兔斯奇的激励。,得到兔斯奇的激勵。
quest_num_75_title_key,드래콩의 기합을 획득하세요.,Obtain Dracong's spirit.,获得龙龙空的蓄力。,獲得龍龍空的蓄力。
quest_num_76_title_key,Worker의 Lv.86로 업그레이드,Upgrade to Lv.86 of Worker,worker升级到Lv.86,worker升級到Lv.86
quest_num_77_title_key,우사기의 Level 900 달성,Achieved Level 900 of Usagi,兔斯奇达到900级,兔斯奇達到900級
quest_num_78_title_key,우사기의 Level 999 달성,Achieved Level 999 of Usagi,兔斯奇达到999级,兔斯奇達到999級
quest_num_79_title_key,우사기 Evolution 하기,Evolve Usagi,进化兔斯奇,進化兔斯奇
quest_num_80_title_key,우사기 Level Up 하기,Level up Usagi,升级兔斯奇,升級兔斯奇
quest_num_81_title_key,그림을 5개 완성 시켜주세요!,Complete 5 pictures!,请完成5张图片！,請完成5張圖片！
quest_num_82_title_key,드래콩의 Level 900 달성,Achieved Level 900 of Dracong,龙龙空达到900级,龍龍空達到900級
quest_num_83_title_key,드래콩의 Level 999 달성,Achieved Level 999 of Dracong,龙龙空达到999级,龍龍空達到999級
quest_num_84_title_key,드래콩 Evolution 하기,Evolve Dracong,进化龙龙空,進化龍龍空
quest_num_85_title_key,드래콩 Level Up 하기,Level up Dracong,升级龙龙空,升級龍龍空
